jointCat,HHSIZE,survey_freq,model_freq
0,2,86.78462899,298551.0
1,2,12.15936857,45207.0
2,2,1.056002434,3428.0
0,3,86.36002663,173717.0
1,3,12.69248119,22951.0
2,3,0.947492187,5127.0
0,4,82.52491952,138842.0
1,4,15.76203441,24073.0
2,4,1.713046064,7733.0
0,5,79.81345513,134301.0
1,5,19.10587596,21908.0
2,5,1.080668909,11642.0
0,Total,84.77487307,0.0
1,Total,14.06319285,0.0
2,Total,1.161934079,0.0
