period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
9.25,3: MD,4: Escort,4922.222517,12329.50018,10511,24854.0
9.25,3: MD,6: Individual Discretionary,17824.78464,6192.692626,18667,7440.0
9.25,3: MD,5: Individual Maintenance,32042.3664,6929.494787,25444,5128.0
9.25,3: MD,8: Joint Discretionary,4287.232113,710.0690294,1192,532.0
9.25,3: MD,7: Joint Maintenance,5679.45133,88.5333,2707,538.0
9.25,3: MD,3: School,3676.338419,1414.41996,8439,427.0
9.25,3: MD,Total,137708.2017,35469.52606,127077,43300.0
9.25,3: MD,2: University,14851.95392,795.7977443,8603,446.0
9.25,3: MD,1: Work,47194.75516,2942.9978,49071,2901.0
9.75,3: MD,9: Work-based,7580.37038,6813.783835,2819,1444.0
9.75,3: MD,4: Escort,3446.565388,6848.462033,10449,14000.0
9.75,3: MD,6: Individual Discretionary,19769.71354,12876.83901,20011,10830.0
9.75,3: MD,5: Individual Maintenance,33910.30394,11802.78946,46101,8532.0
9.75,3: MD,8: Joint Discretionary,4315.16537,224.014395,2592,724.0
9.75,3: MD,7: Joint Maintenance,2610.993121,847.8556733,4899,881.0
9.75,3: MD,3: School,1056.07364,890.614755,4556,415.0
9.75,3: MD,Total,104011.5441,47316.19801,128489,41314.0
9.75,3: MD,2: University,4019.915962,3762.403562,7095,670.0
9.75,3: MD,1: Work,27302.44272,3249.43529,29967,3818.0
10.25,3: MD,9: Work-based,10266.99569,4606.032479,3458,1999.0
10.25,3: MD,4: Escort,2305.952345,4618.886177,10720,10955.0
10.25,3: MD,6: Individual Discretionary,14741.32639,10792.01398,14398,11088.0
10.25,3: MD,5: Individual Maintenance,26984.22975,12845.26953,52059,23780.0
10.25,3: MD,8: Joint Discretionary,991.0863735,2210.733347,1861,853.0
10.25,3: MD,7: Joint Maintenance,6830.59537,957.3610946,5702,2218.0
10.25,3: MD,3: School,551.6352333,378.83659,3057,997.0
10.25,3: MD,Total,88692.42658,41416.45754,117855,57658.0
10.25,3: MD,2: University,5667.203441,2605.273891,5946,1163.0
10.25,3: MD,1: Work,20353.40199,2402.050457,20654,4605.0
10.75,3: MD,9: Work-based,9718.914432,8565.175385,4597,2646.0
10.75,3: MD,4: Escort,2844.289939,2861.761433,11048,10732.0
10.75,3: MD,6: Individual Discretionary,20992.4945,10083.2673,14337,11555.0
10.75,3: MD,5: Individual Maintenance,22937.74091,16186.92193,52369,29498.0
10.75,3: MD,8: Joint Discretionary,3188.907783,536.09151,1757,1011.0
10.75,3: MD,7: Joint Maintenance,3883.858308,3195.928676,5881,2906.0
10.75,3: MD,3: School,571.70576,692.58772,2177,2061.0
10.75,3: MD,Total,88652.66015,46284.2996,116345,68356.0
10.75,3: MD,2: University,5596.13554,1386.25007,4964,1827.0
10.75,3: MD,1: Work,18918.61298,2776.315575,19215,6120.0
11.25,3: MD,9: Work-based,18840.79615,6047.625114,5635,3717.0
11.25,3: MD,4: Escort,7514.500877,6885.93046,11558,11068.0
11.25,3: MD,6: Individual Discretionary,32486.88414,9536.770687,17108,14340.0
11.25,3: MD,5: Individual Maintenance,26066.32561,18416.42316,42195,35860.0
11.25,3: MD,8: Joint Discretionary,2535.499542,1149.503337,2221,1374.0
11.25,3: MD,7: Joint Maintenance,2190.873415,2700.842512,4659,3742.0
11.25,3: MD,3: School,1670.093718,2182.221612,1888,3753.0
11.25,3: MD,Total,109957.2384,56927.78185,107546,84663.0
11.25,3: MD,2: University,4393.893603,3953.42205,4132,2791.0
11.25,3: MD,1: Work,14258.3713,6055.042919,18150,8018.0
11.75,3: MD,9: Work-based,22546.94945,13521.16514,20349,5902.0
11.75,3: MD,4: Escort,6225.367873,3797.616359,12161,11500.0
11.75,3: MD,6: Individual Discretionary,15587.35785,13929.10179,16990,13685.0
11.75,3: MD,5: Individual Maintenance,17527.09667,23279.47542,29635,40507.0
