period,skim_period,purpose,survey_freq_dep,survey_freq_arr,model_freq_dep,model_freq_arr
23.75,5: EV,1: Work,1100.374414,7663.23972,381,14876.0
24.25,5: EV,9: Work-based,0.0,0.0,53,273.0
24.25,5: EV,4: Escort,2983.216681,5185.000606,1271,5797.0
24.25,5: EV,6: Individual Discretionary,2335.779993,9816.392034,177,4077.0
24.25,5: EV,5: Individual Maintenance,284.505505,1928.211952,111,2071.0
24.25,5: EV,8: Joint Discretionary,273.9411667,382.5678867,14,399.0
24.25,5: EV,7: Joint Maintenance,16.3259,29.39392,13,265.0
24.25,5: EV,3: School,33.09688,31.41696,20,449.0
24.25,5: EV,Total,10665.62369,32689.22827,1898,39594.0
24.25,5: EV,2: University,331.0038667,2692.363862,1,692.0
24.25,5: EV,1: Work,4407.7537,12623.88105,238,25571.0
