purpose,survey_avgDist,model_avgDist
1: Work,3.674888859,3.75402332530967
2: University,2.412762136,3.942043420397728
3: School,3.003523168,8.336021895650243
4: Escort,3.917569054,3.939174141091446
5: Individual Maintenance,2.789116829,3.901526401433428
6: Individual Discretionary,2.88068398,3.5187649765182005
7: Joint Maintenance,2.227713976,4.376141153054616
8: Joint Discretionary,2.52278965,3.942514990769293
9: Work-based,1.027530008,6.650778826579643
Total,3.084027805,4.36226284762094
