purpose,survey_avgDist,model_avgDist
4: Escort,4.356593159,4.995049138693254
5: Individual Maintenance,4.780009806,4.896731369961884
6: Individual Discretionary,5.492830894,5.219612274256935
7: Joint Maintenance,7.42970528,6.2606413241758005
8: Joint Discretionary,6.459657016,5.6802468582691885
9: Work-based,3.412074869,3.4197398926248685
Total,4.911169175,5.007363663468101
