tourdur,purpose,survey_freq,model_freq
9,7: Joint Maintenance,0,156.0
9,3: School,28113,39471.0
9,Total,92594,125167.0
9,2: University,5469,3126.0
9,1: Work,52053,78355.0
9.5,9: Work-based,0,11.0
9.5,4: Escort,2100,128.0
9.5,6: Individual Discretionary,2942,1556.0
9.5,5: Individual Maintenance,1672,1644.0
9.5,8: Joint Discretionary,162,106.0
9.5,7: Joint Maintenance,0,132.0
9.5,3: School,21447,29741.0
9.5,Total,108815,161293.0
9.5,2: University,5396,2709.0
9.5,1: Work,75093,125266.0
10,9: Work-based,6,7.0
10,4: Escort,1326,91.0
10,6: Individual Discretionary,2092,1546.0
10,5: Individual Maintenance,2389,1351.0
10,8: Joint Discretionary,0,101.0
10,7: Joint Maintenance,0,115.0
10,3: School,22619,30161.0
10,Total,151837,185705.0
10,2: University,1739,2191.0
10,1: Work,121663,150142.0
10.5,9: Work-based,0,4.0
10.5,4: Escort,2788,64.0
10.5,6: Individual Discretionary,4094,1330.0
10.5,5: Individual Maintenance,526,959.0
10.5,8: Joint Discretionary,0,81.0
10.5,7: Joint Maintenance,0,99.0
10.5,3: School,13370,25022.0
10.5,Total,149725,154526.0
10.5,2: University,8027,1830.0
10.5,1: Work,120917,125137.0
11,9: Work-based,0,0.0
11,4: Escort,775,35.0
11,6: Individual Discretionary,994,1249.0
11,5: Individual Maintenance,962,852.0
11,8: Joint Discretionary,0,72.0
11,7: Joint Maintenance,0,72.0
11,3: School,10642,14476.0
11,Total,112160,113289.0
11,2: University,2840,1532.0
11,1: Work,95945,95001.0
11.5,9: Work-based,13,0.0
11.5,4: Escort,1803,23.0
11.5,6: Individual Discretionary,1538,1127.0
11.5,5: Individual Maintenance,617,649.0
11.5,8: Joint Discretionary,611,65.0
11.5,7: Joint Maintenance,27,59.0
11.5,3: School,7792,5748.0
11.5,Total,93844,74731.0
11.5,2: University,3355,1261.0
11.5,1: Work,78084,65799.0
12,9: Work-based,0,1.0
12,4: Escort,1796,18.0
12,6: Individual Discretionary,1577,983.0
12,5: Individual Maintenance,134,516.0
12,8: Joint Discretionary,0,52.0
12,7: Joint Maintenance,0,48.0
12,3: School,11591,4122.0
12,Total,66941,47698.0
12,2: University,6764,1092.0
12,1: Work,45077,40866.0
12.5,9: Work-based,0,0.0
12.5,4: Escort,597,10.0
12.5,6: Individual Discretionary,1206,834.0
12.5,5: Individual Maintenance,326,379.0
12.5,8: Joint Discretionary,0,49.0
12.5,7: Joint Maintenance,0,38.0
12.5,3: School,9213,2962.0
12.5,Total,50748,36711.0
12.5,2: University,3856,940.0
12.5,1: Work,35548,31499.0
13,9: Work-based,0,0.0
13,4: Escort,591,13.0
13,6: Individual Discretionary,341,694.0
13,5: Individual Maintenance,175,312.0
13,8: Joint Discretionary,30,27.0
13,7: Joint Maintenance,0,28.0
13,3: School,3177,2017.0
13,Total,29641,26266.0
13,2: University,885,800.0
13,1: Work,24438,22375.0
13.5,9: Work-based,0,0.0
13.5,4: Escort,1151,7.0
13.5,6: Individual Discretionary,629,579.0
13.5,5: Individual Maintenance,305,256.0
13.5,8: Joint Discretionary,0,29.0
13.5,7: Joint Maintenance,0,20.0
13.5,3: School,3940,1262.0
13.5,Total,41534,17021.0
13.5,2: University,1609,748.0
13.5,1: Work,33897,14120.0
14,9: Work-based,0,1.0
14,4: Escort,19,5.0
14,6: Individual Discretionary,62,445.0
14,5: Individual Maintenance,0,209.0
14,8: Joint Discretionary,0,11.0
14,7: Joint Maintenance,0,22.0
14,3: School,6736,744.0
14,Total,32413,11209.0
14,2: University,2554,576.0
14,1: Work,23041,9196.0
14.5,9: Work-based,0,0.0
14.5,4: Escort,52,2.0
14.5,6: Individual Discretionary,59,341.0
14.5,5: Individual Maintenance,0,154.0
14.5,8: Joint Discretionary,0,15.0
14.5,7: Joint Maintenance,0,10.0
14.5,3: School,2379,491.0
14.5,Total,13844,6733.0
14.5,2: University,324,508.0
14.5,1: Work,11028,5212.0
15,9: Work-based,0,0.0
15,4: Escort,11,1.0
15,6: Individual Discretionary,56,226.0
15,5: Individual Maintenance,1154,85.0
15,8: Joint Discretionary,0,11.0
15,7: Joint Maintenance,0,12.0
15,3: School,377,375.0
15,Total,13920,4008.0
15,2: University,316,411.0
15,1: Work,12004,2887.0
15.5,9: Work-based,0,0.0
15.5,4: Escort,0,2.0
15.5,6: Individual Discretionary,457,168.0
15.5,5: Individual Maintenance,1217,86.0
15.5,8: Joint Discretionary,0,11.0
15.5,7: Joint Maintenance,0,8.0
15.5,3: School,2521,293.0
15.5,Total,10343,2314.0
15.5,2: University,3467,286.0
15.5,1: Work,2678,1460.0
16,9: Work-based,0,0.0
16,4: Escort,0,2.0
16,6: Individual Discretionary,21,144.0
16,5: Individual Maintenance,0,48.0
16,8: Joint Discretionary,0,6.0
16,7: Joint Maintenance,0,2.0
16,3: School,16,289.0
16,Total,6955,1418.0
16,2: University,1467,216.0
16,1: Work,5449,711.0
16.5,9: Work-based,0,0.0
16.5,4: Escort,0,0.0
16.5,6: Individual Discretionary,0,75.0
16.5,5: Individual Maintenance,0,32.0
16.5,8: Joint Discretionary,0,1.0
16.5,7: Joint Maintenance,0,0.0
16.5,3: School,0,250.0
16.5,Total,1750,819.0
16.5,2: University,0,165.0
16.5,1: Work,1750,296.0
17,9: Work-based,0,0.0
17,4: Escort,120,0.0
17,6: Individual Discretionary,11,39.0
17,5: Individual Maintenance,0,14.0
17,8: Joint Discretionary,0,1.0
17,7: Joint Maintenance,0,0.0
17,3: School,26,197.0
17,Total,1835,440.0
17,2: University,13,88.0
17,1: Work,1664,101.0
17.5,9: Work-based,0,0.0
17.5,4: Escort,0,0.0
17.5,6: Individual Discretionary,77,31.0
17.5,5: Individual Maintenance,0,13.0
17.5,8: Joint Discretionary,0,0.0
17.5,7: Joint Maintenance,0,0.0
17.5,3: School,17,113.0
17.5,Total,1235,250.0
17.5,2: University,520,66.0
17.5,1: Work,618,27.0
18,9: Work-based,0,0.0
18,4: Escort,0,0.0
18,6: Individual Discretionary,0,16.0
18,5: Individual Maintenance,0,1.0
18,8: Joint Discretionary,0,1.0
18,7: Joint Maintenance,0,0.0
18,3: School,0,44.0
18,Total,204,84.0
18,2: University,0,12.0
18,1: Work,204,10.0
18.5,9: Work-based,0,0.0
18.5,4: Escort,0,0.0
18.5,6: Individual Discretionary,6,8.0
18.5,5: Individual Maintenance,0,3.0
