distbin,purpose,survey_freq,model_freq
9,5: Individual Maintenance,6182.0,19781
1,6: Individual Discretionary,20771.0,24476
10,6: Individual Discretionary,5949.0,11211
11,6: Individual Discretionary,11356.0,9043
12,6: Individual Discretionary,4440.0,7487
13,6: Individual Discretionary,4462.0,6397
14,6: Individual Discretionary,2208.0,5481
15,6: Individual Discretionary,1954.0,4437
16,6: Individual Discretionary,3496.0,3678
17,6: Individual Discretionary,1554.0,3119
18,6: Individual Discretionary,840.0,2616
19,6: Individual Discretionary,4411.0,2177
2,6: Individual Discretionary,216224.0,205841
20,6: Individual Discretionary,1493.0,1897
21,6: Individual Discretionary,4356.0,1671
22,6: Individual Discretionary,298.0,1460
23,6: Individual Discretionary,940.0,1205
24,6: Individual Discretionary,410.0,1057
25,6: Individual Discretionary,587.0,890
26,6: Individual Discretionary,727.0,831
27,6: Individual Discretionary,485.0,712
28,6: Individual Discretionary,554.0,623
29,6: Individual Discretionary,517.0,547
3,6: Individual Discretionary,71787.0,73830
30,6: Individual Discretionary,153.0,496
31,6: Individual Discretionary,11.0,421
32,6: Individual Discretionary,123.0,358
33,6: Individual Discretionary,82.0,310
34,6: Individual Discretionary,1115.0,276
35,6: Individual Discretionary,33.0,269
36,6: Individual Discretionary,143.0,204
37,6: Individual Discretionary,363.0,197
38,6: Individual Discretionary,167.0,200
39,6: Individual Discretionary,350.0,140
4,6: Individual Discretionary,37967.0,43854
40,6: Individual Discretionary,574.0,126
41,6: Individual Discretionary,31.0,146
42,6: Individual Discretionary,1297.0,96
5,6: Individual Discretionary,27849.0,31415
6,6: Individual Discretionary,24322.0,24356
7,6: Individual Discretionary,15286.0,19426
8,6: Individual Discretionary,10039.0,15704
9,6: Individual Discretionary,6640.0,13344
1,7: Joint Maintenance,4050.0,5547
10,7: Joint Maintenance,81.0,2410
11,7: Joint Maintenance,26.0,2095
12,7: Joint Maintenance,405.0,1818
13,7: Joint Maintenance,430.0,1638
14,7: Joint Maintenance,106.0,1426
15,7: Joint Maintenance,598.0,1228
16,7: Joint Maintenance,14.0,1069
17,7: Joint Maintenance,705.0,942
18,7: Joint Maintenance,0.0,809
19,7: Joint Maintenance,27.0,671
2,7: Joint Maintenance,19955.0,41005
20,7: Joint Maintenance,10.0,623
21,7: Joint Maintenance,3.0,557
22,7: Joint Maintenance,0.0,471
23,7: Joint Maintenance,0.0,445
24,7: Joint Maintenance,78.0,382
25,7: Joint Maintenance,0.0,346
26,7: Joint Maintenance,0.0,327
27,7: Joint Maintenance,13.0,270
28,7: Joint Maintenance,0.0,236
29,7: Joint Maintenance,0.0,207
3,7: Joint Maintenance,4902.0,13231
30,7: Joint Maintenance,0.0,200
31,7: Joint Maintenance,0.0,185
32,7: Joint Maintenance,0.0,170
33,7: Joint Maintenance,0.0,141
34,7: Joint Maintenance,16.0,120
35,7: Joint Maintenance,0.0,120
36,7: Joint Maintenance,0.0,99
37,7: Joint Maintenance,0.0,96
38,7: Joint Maintenance,0.0,77
39,7: Joint Maintenance,0.0,66
4,7: Joint Maintenance,4417.0,7979
40,7: Joint Maintenance,0.0,63
41,7: Joint Maintenance,0.0,51
42,7: Joint Maintenance,0.0,46
5,7: Joint Maintenance,1549.0,5790
6,7: Joint Maintenance,2056.0,4653
7,7: Joint Maintenance,1010.0,3728
8,7: Joint Maintenance,296.0,3222
9,7: Joint Maintenance,295.0,2853
1,8: Joint Discretionary,1422.0,3764
10,8: Joint Discretionary,2108.0,1787
11,8: Joint Discretionary,287.0,1401
12,8: Joint Discretionary,437.0,1239
13,8: Joint Discretionary,541.0,1052
14,8: Joint Discretionary,24.0,850
15,8: Joint Discretionary,21.0,735
16,8: Joint Discretionary,0.0,658
17,8: Joint Discretionary,248.0,604
18,8: Joint Discretionary,13.0,470
19,8: Joint Discretionary,16.0,457
2,8: Joint Discretionary,20969.0,28961
20,8: Joint Discretionary,0.0,331
21,8: Joint Discretionary,26.0,298
22,8: Joint Discretionary,62.0,264
23,8: Joint Discretionary,0.0,230
24,8: Joint Discretionary,0.0,203
25,8: Joint Discretionary,78.0,171
26,8: Joint Discretionary,62.0,175
27,8: Joint Discretionary,27.0,144
28,8: Joint Discretionary,22.0,114
29,8: Joint Discretionary,108.0,106
3,8: Joint Discretionary,5777.0,10383
30,8: Joint Discretionary,0.0,109
31,8: Joint Discretionary,90.0,82
32,8: Joint Discretionary,0.0,87
33,8: Joint Discretionary,0.0,61
34,8: Joint Discretionary,0.0,56
35,8: Joint Discretionary,0.0,55
36,8: Joint Discretionary,0.0,51
37,8: Joint Discretionary,65.0,33
38,8: Joint Discretionary,0.0,39
39,8: Joint Discretionary,0.0,35
4,8: Joint Discretionary,1496.0,6237
40,8: Joint Discretionary,0.0,28
41,8: Joint Discretionary,0.0,23
42,8: Joint Discretionary,0.0,22
5,8: Joint Discretionary,3284.0,4440
6,8: Joint Discretionary,1458.0,3499
7,8: Joint Discretionary,446.0,2822
8,8: Joint Discretionary,854.0,2306
9,8: Joint Discretionary,375.0,1935
1,9: Work-based,4434.0,807
10,9: Work-based,1534.0,509
11,9: Work-based,174.0,439
12,9: Work-based,697.0,413
13,9: Work-based,752.0,402
14,9: Work-based,903.0,366
15,9: Work-based,36.0,332
16,9: Work-based,179.0,297
17,9: Work-based,109.0,278
18,9: Work-based,828.0,254
19,9: Work-based,21.0,251
2,9: Work-based,186892.0,13937
20,9: Work-based,253.0,208
21,9: Work-based,0.0,186
22,9: Work-based,12.0,206
23,9: Work-based,653.0,172
24,9: Work-based,17.0,169
25,9: Work-based,0.0,174
26,9: Work-based,4.0,142
27,9: Work-based,0.0,147
28,9: Work-based,15.0,143
29,9: Work-based,0.0,119
3,9: Work-based,9578.0,2837
30,9: Work-based,0.0,106
31,9: Work-based,0.0,127
32,9: Work-based,0.0,103
33,9: Work-based,0.0,99
