distbin,purpose,survey_freq,model_freq
6,7: Joint Maintenance,2655.062284,6534
7,7: Joint Maintenance,5434.59476,4695
8,7: Joint Maintenance,2429.75517,3766
9,7: Joint Maintenance,1886.408372,3213
1,8: Joint Discretionary,11857.97624,15828
10,8: Joint Discretionary,950.1001944,2461
11,8: Joint Discretionary,1033.585045,2007
12,8: Joint Discretionary,635.2137159,1666
13,8: Joint Discretionary,1462.994302,1361
14,8: Joint Discretionary,787.8302067,1105
15,8: Joint Discretionary,2091.949813,842
16,8: Joint Discretionary,789.7849243,623
17,8: Joint Discretionary,837.8292233,442
18,8: Joint Discretionary,1149.7819,362
19,8: Joint Discretionary,273.439895,249
2,8: Joint Discretionary,11287.99816,13047
20,8: Joint Discretionary,216.049305,214
21,8: Joint Discretionary,143.895785,161
22,8: Joint Discretionary,2027.66484,133
23,8: Joint Discretionary,147.44152,157
24,8: Joint Discretionary,267.88194,149
25,8: Joint Discretionary,0.0,138
26,8: Joint Discretionary,51.19163333,147
27,8: Joint Discretionary,1487.244764,125
28,8: Joint Discretionary,0.0,111
29,8: Joint Discretionary,235.051525,104
3,8: Joint Discretionary,11380.02399,9991
30,8: Joint Discretionary,0.0,112
31,8: Joint Discretionary,438.08415,87
32,8: Joint Discretionary,98.97900497,93
33,8: Joint Discretionary,3.91996,87
34,8: Joint Discretionary,33.28112,95
35,8: Joint Discretionary,16.2642,91
36,8: Joint Discretionary,13.07974,89
37,8: Joint Discretionary,0.0,111
38,8: Joint Discretionary,248.5528352,76
39,8: Joint Discretionary,0.0,83
4,8: Joint Discretionary,9728.652387,6717
40,8: Joint Discretionary,0.0,62
41,8: Joint Discretionary,542.5389083,80
5,8: Joint Discretionary,7149.043977,6137
6,8: Joint Discretionary,3624.540182,3508
7,8: Joint Discretionary,3295.835466,3247
8,8: Joint Discretionary,3164.623018,2899
9,8: Joint Discretionary,1045.665711,2588
1,9: Work-based,92478.04575,47342
10,9: Work-based,3757.78558,1265
11,9: Work-based,1586.62842,1296
12,9: Work-based,3829.702181,1573
13,9: Work-based,2096.667335,1865
14,9: Work-based,1625.868372,1954
15,9: Work-based,431.13327,1753
16,9: Work-based,1352.070925,1515
17,9: Work-based,1654.398346,1179
18,9: Work-based,205.5051463,829
19,9: Work-based,874.5042933,477
2,9: Work-based,39270.74198,18823
20,9: Work-based,89.86393667,198
21,9: Work-based,1720.956283,108
22,9: Work-based,78.06816,67
23,9: Work-based,217.895285,70
24,9: Work-based,1683.139313,39
25,9: Work-based,375.1182184,32
26,9: Work-based,71.306375,34
27,9: Work-based,447.13522,21
28,9: Work-based,231.39197,30
29,9: Work-based,318.912,18
3,9: Work-based,23641.26148,12190
30,9: Work-based,4.937825,17
31,9: Work-based,0.0,14
32,9: Work-based,5.078125,3
33,9: Work-based,49.84626,6
34,9: Work-based,17.95904,2
35,9: Work-based,0.0,4
36,9: Work-based,13.05294,2
37,9: Work-based,65.0568,5
38,9: Work-based,208.55625,2
39,9: Work-based,14.63668,3
4,9: Work-based,13692.47763,7453
40,9: Work-based,0.0,1
41,9: Work-based,822.3545242,2
5,9: Work-based,10273.61616,5561
6,9: Work-based,4532.060333,2766
7,9: Work-based,3710.015069,2756
8,9: Work-based,7306.569881,3211
9,9: Work-based,1314.100646,1081
1,Total,414444.3779,513466
10,Total,41176.04108,63400
11,Total,31466.3009,55575
12,Total,36024.44291,49938
13,Total,22482.38718,44858
14,Total,17906.97775,39719
15,Total,20610.65479,34437
16,Total,17226.85259,28713
17,Total,14720.00616,23178
18,Total,16394.57339,18112
19,Total,9551.801316,13148
2,Total,368353.867,500935
20,Total,5402.124779,8247
21,Total,11098.63901,3107
22,Total,7119.234736,2499
23,Total,4791.700327,2317
24,Total,8175.259217,2152
25,Total,2754.761264,1963
26,Total,2574.886864,2024
27,Total,3621.690123,1844
28,Total,3940.387597,1830
29,Total,2412.21629,1592
3,Total,242804.894,332550
30,Total,1471.370679,1661
31,Total,2285.855549,1493
32,Total,2433.379228,1419
33,Total,1272.650517,1383
34,Total,601.0001159,1415
35,Total,851.8835705,1363
36,Total,435.9379486,1306
37,Total,236.7574233,1283
38,Total,881.0631519,1206
39,Total,135.271525,1205
4,Total,163444.3388,228354
40,Total,111.2968887,1169
41,Total,9200.375257,1138
5,Total,115531.2413,178923
6,Total,105149.0794,124786
7,Total,68979.02231,97457
8,Total,52340.28396,80816
9,Total,47793.22575,67598
99999,4: Escort,0.0,1346
99999,5: Individual Maintenance,0.0,8205
99999,6: Individual Discretionary,0.0,6082
99999,7: Joint Maintenance,0.0,1213
99999,8: Joint Discretionary,0.0,1050
99999,9: Work-based,0.0,9
99999,Total,0.0,17905
