trip_mode,tour_mode,purpose,survey_value,model_value
03: Shared Ride 3+,08: KNR to Transit,6: Individual Discretionary,3078.0,3165.0
04: Walk,08: KNR to Transit,6: Individual Discretionary,570.0,458.0
05: Bike,08: KNR to Transit,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,08: KNR to Transit,6: Individual Discretionary,2410.0,933.0
07: PNR to Transit,08: KNR to Transit,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,08: KNR to Transit,6: Individual Discretionary,4424.0,4537.0
09: TNC to Transit,08: KNR to Transit,6: Individual Discretionary,0.0,0.0
01: SOV,13: School Bus,6: Individual Discretionary,0.0,0.0
02: Shared Ride 2,13: School Bus,6: Individual Discretionary,0.0,0.0
03: Shared Ride 3+,13: School Bus,6: Individual Discretionary,0.0,0.0
04: Walk,13: School Bus,6: Individual Discretionary,0.0,0.0
05: Bike,13: School Bus,6: Individual Discretionary,0.0,0.0
06: Walk to Transit,13: School Bus,6: Individual Discretionary,0.0,0.0
07: PNR to Transit,13: School Bus,6: Individual Discretionary,0.0,0.0
08: KNR to Transit,13: School Bus,6: Individual Discretionary,0.0,0.0
09: TNC to Transit,13: School Bus,6: Individual Discretionary,0.0,0.0
01: SOV,Total,6: Individual Discretionary,615892.0,634803.0
02: Shared Ride 2,Total,6: Individual Discretionary,342448.0,321754.0
03: Shared Ride 3+,Total,6: Individual Discretionary,234020.0,248481.0
04: Walk,Total,6: Individual Discretionary,239963.0,245976.0
05: Bike,Total,6: Individual Discretionary,25052.0,30768.0
06: Walk to Transit,Total,6: Individual Discretionary,20331.0,17031.0
07: PNR to Transit,Total,6: Individual Discretionary,417.0,441.0
08: KNR to Transit,Total,6: Individual Discretionary,4424.0,6446.0
09: TNC to Transit,Total,6: Individual Discretionary,0.0,0.0
01: SOV,01: SOV,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,01: SOV,7: Joint Maintenance,0.0,0.0
03: Shared Ride 3+,01: SOV,7: Joint Maintenance,0.0,0.0
04: Walk,01: SOV,7: Joint Maintenance,0.0,0.0
05: Bike,01: SOV,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,01: SOV,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,01: SOV,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,01: SOV,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,01: SOV,7: Joint Maintenance,0.0,0.0
01: SOV,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,02: Shared Ride 2,7: Joint Maintenance,185399.0,191600.0
03: Shared Ride 3+,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
04: Walk,02: Shared Ride 2,7: Joint Maintenance,524.0,35.0
05: Bike,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,7: Joint Maintenance,0.0,0.0
01: SOV,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,03: Shared Ride 3+,7: Joint Maintenance,6209.0,5862.0
03: Shared Ride 3+,03: Shared Ride 3+,7: Joint Maintenance,73923.0,72592.0
04: Walk,03: Shared Ride 3+,7: Joint Maintenance,552.0,65.0
05: Bike,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,7: Joint Maintenance,0.0,0.0
01: SOV,04: Walk,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,04: Walk,7: Joint Maintenance,0.0,0.0
03: Shared Ride 3+,04: Walk,7: Joint Maintenance,0.0,0.0
04: Walk,04: Walk,7: Joint Maintenance,6614.0,7821.0
05: Bike,04: Walk,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,04: Walk,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,04: Walk,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,04: Walk,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,04: Walk,7: Joint Maintenance,0.0,0.0
01: SOV,05: Bike,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,05: Bike,7: Joint Maintenance,64.0,0.0
03: Shared Ride 3+,05: Bike,7: Joint Maintenance,0.0,0.0
04: Walk,05: Bike,7: Joint Maintenance,0.0,0.0
05: Bike,05: Bike,7: Joint Maintenance,208.0,209.0
06: Walk to Transit,05: Bike,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,05: Bike,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,05: Bike,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,05: Bike,7: Joint Maintenance,0.0,0.0
01: SOV,06: Walk to Transit,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,7: Joint Maintenance,162.0,180.0
03: Shared Ride 3+,06: Walk to Transit,7: Joint Maintenance,0.0,151.0
04: Walk,06: Walk to Transit,7: Joint Maintenance,3378.0,4213.0
05: Bike,06: Walk to Transit,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,06: Walk to Transit,7: Joint Maintenance,4172.0,3744.0
07: PNR to Transit,06: Walk to Transit,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,06: Walk to Transit,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,06: Walk to Transit,7: Joint Maintenance,0.0,0.0
01: SOV,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
03: Shared Ride 3+,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
04: Walk,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
05: Bike,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,07: PNR to Transit,7: Joint Maintenance,0.0,0.0
01: SOV,08: KNR to Transit,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,7: Joint Maintenance,0.0,73.0
03: Shared Ride 3+,08: KNR to Transit,7: Joint Maintenance,0.0,256.0
04: Walk,08: KNR to Transit,7: Joint Maintenance,0.0,59.0
05: Bike,08: KNR to Transit,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,08: KNR to Transit,7: Joint Maintenance,0.0,12.0
07: PNR to Transit,08: KNR to Transit,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,08: KNR to Transit,7: Joint Maintenance,0.0,324.0
09: TNC to Transit,08: KNR to Transit,7: Joint Maintenance,0.0,0.0
01: SOV,13: School Bus,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,13: School Bus,7: Joint Maintenance,0.0,0.0
03: Shared Ride 3+,13: School Bus,7: Joint Maintenance,0.0,0.0
04: Walk,13: School Bus,7: Joint Maintenance,0.0,0.0
05: Bike,13: School Bus,7: Joint Maintenance,0.0,0.0
06: Walk to Transit,13: School Bus,7: Joint Maintenance,0.0,0.0
07: PNR to Transit,13: School Bus,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,13: School Bus,7: Joint Maintenance,0.0,0.0
09: TNC to Transit,13: School Bus,7: Joint Maintenance,0.0,0.0
01: SOV,Total,7: Joint Maintenance,0.0,0.0
02: Shared Ride 2,Total,7: Joint Maintenance,191835.0,198826.0
03: Shared Ride 3+,Total,7: Joint Maintenance,73923.0,73113.0
04: Walk,Total,7: Joint Maintenance,11068.0,12203.0
05: Bike,Total,7: Joint Maintenance,208.0,209.0
06: Walk to Transit,Total,7: Joint Maintenance,4172.0,3756.0
07: PNR to Transit,Total,7: Joint Maintenance,0.0,0.0
08: KNR to Transit,Total,7: Joint Maintenance,0.0,324.0
09: TNC to Transit,Total,7: Joint Maintenance,0.0,0.0
01: SOV,01: SOV,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,01: SOV,8: Joint Discretionary,0.0,0.0
03: Shared Ride 3+,01: SOV,8: Joint Discretionary,0.0,0.0
04: Walk,01: SOV,8: Joint Discretionary,0.0,0.0
05: Bike,01: SOV,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,01: SOV,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,01: SOV,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,01: SOV,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,01: SOV,8: Joint Discretionary,0.0,0.0
01: SOV,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,02: Shared Ride 2,8: Joint Discretionary,116911.0,117180.0
03: Shared Ride 3+,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
04: Walk,02: Shared Ride 2,8: Joint Discretionary,2368.0,2222.0
05: Bike,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,8: Joint Discretionary,0.0,0.0
01: SOV,03: Shared Ride 3+,8: Joint Discretionary,80.0,0.0
02: Shared Ride 2,03: Shared Ride 3+,8: Joint Discretionary,2931.0,2713.0
03: Shared Ride 3+,03: Shared Ride 3+,8: Joint Discretionary,71200.0,69588.0
04: Walk,03: Shared Ride 3+,8: Joint Discretionary,1030.0,943.0
05: Bike,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,8: Joint Discretionary,0.0,0.0
01: SOV,04: Walk,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,04: Walk,8: Joint Discretionary,0.0,0.0
03: Shared Ride 3+,04: Walk,8: Joint Discretionary,0.0,0.0
04: Walk,04: Walk,8: Joint Discretionary,25324.0,26427.0
05: Bike,04: Walk,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,04: Walk,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,04: Walk,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,04: Walk,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,04: Walk,8: Joint Discretionary,0.0,0.0
01: SOV,05: Bike,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,05: Bike,8: Joint Discretionary,10.0,0.0
03: Shared Ride 3+,05: Bike,8: Joint Discretionary,8.0,0.0
04: Walk,05: Bike,8: Joint Discretionary,0.0,0.0
05: Bike,05: Bike,8: Joint Discretionary,49.0,39.0
06: Walk to Transit,05: Bike,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,05: Bike,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,05: Bike,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,05: Bike,8: Joint Discretionary,0.0,0.0
01: SOV,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,8: Joint Discretionary,0.0,7.0
03: Shared Ride 3+,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
04: Walk,06: Walk to Transit,8: Joint Discretionary,0.0,668.0
05: Bike,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,06: Walk to Transit,8: Joint Discretionary,0.0,3221.0
07: PNR to Transit,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,06: Walk to Transit,8: Joint Discretionary,0.0,0.0
01: SOV,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
03: Shared Ride 3+,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
04: Walk,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
05: Bike,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,07: PNR to Transit,8: Joint Discretionary,0.0,0.0
01: SOV,08: KNR to Transit,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,8: Joint Discretionary,0.0,323.0
03: Shared Ride 3+,08: KNR to Transit,8: Joint Discretionary,0.0,188.0
04: Walk,08: KNR to Transit,8: Joint Discretionary,0.0,68.0
05: Bike,08: KNR to Transit,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,08: KNR to Transit,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,08: KNR to Transit,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,08: KNR to Transit,8: Joint Discretionary,0.0,423.0
09: TNC to Transit,08: KNR to Transit,8: Joint Discretionary,0.0,0.0
01: SOV,13: School Bus,8: Joint Discretionary,0.0,0.0
02: Shared Ride 2,13: School Bus,8: Joint Discretionary,0.0,0.0
03: Shared Ride 3+,13: School Bus,8: Joint Discretionary,0.0,0.0
04: Walk,13: School Bus,8: Joint Discretionary,0.0,0.0
05: Bike,13: School Bus,8: Joint Discretionary,0.0,0.0
06: Walk to Transit,13: School Bus,8: Joint Discretionary,0.0,0.0
07: PNR to Transit,13: School Bus,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,13: School Bus,8: Joint Discretionary,0.0,0.0
09: TNC to Transit,13: School Bus,8: Joint Discretionary,0.0,0.0
01: SOV,Total,8: Joint Discretionary,80.0,0.0
02: Shared Ride 2,Total,8: Joint Discretionary,119852.0,121798.0
03: Shared Ride 3+,Total,8: Joint Discretionary,71208.0,71211.0
04: Walk,Total,8: Joint Discretionary,28722.0,32747.0
05: Bike,Total,8: Joint Discretionary,49.0,39.0
06: Walk to Transit,Total,8: Joint Discretionary,0.0,3221.0
07: PNR to Transit,Total,8: Joint Discretionary,0.0,0.0
08: KNR to Transit,Total,8: Joint Discretionary,0.0,423.0
09: TNC to Transit,Total,8: Joint Discretionary,0.0,0.0
01: SOV,01: SOV,9: Work-based,128060.0,136879.0
02: Shared Ride 2,01: SOV,9: Work-based,0.0,0.0
03: Shared Ride 3+,01: SOV,9: Work-based,0.0,0.0
04: Walk,01: SOV,9: Work-based,0.0,0.0
05: Bike,01: SOV,9: Work-based,0.0,0.0
06: Walk to Transit,01: SOV,9: Work-based,0.0,0.0
07: PNR to Transit,01: SOV,9: Work-based,0.0,0.0
08: KNR to Transit,01: SOV,9: Work-based,0.0,0.0
09: TNC to Transit,01: SOV,9: Work-based,0.0,0.0
01: SOV,02: Shared Ride 2,9: Work-based,5014.0,5073.0
02: Shared Ride 2,02: Shared Ride 2,9: Work-based,34718.0,35536.0
03: Shared Ride 3+,02: Shared Ride 2,9: Work-based,0.0,0.0
04: Walk,02: Shared Ride 2,9: Work-based,551.0,563.0
05: Bike,02: Shared Ride 2,9: Work-based,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,9: Work-based,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,9: Work-based,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,9: Work-based,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,9: Work-based,0.0,0.0
01: SOV,03: Shared Ride 3+,9: Work-based,567.0,769.0
02: Shared Ride 2,03: Shared Ride 3+,9: Work-based,1266.0,1733.0
03: Shared Ride 3+,03: Shared Ride 3+,9: Work-based,8969.0,11303.0
04: Walk,03: Shared Ride 3+,9: Work-based,513.0,489.0
05: Bike,03: Shared Ride 3+,9: Work-based,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,9: Work-based,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,9: Work-based,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,9: Work-based,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,9: Work-based,0.0,0.0
01: SOV,04: Walk,9: Work-based,0.0,0.0
02: Shared Ride 2,04: Walk,9: Work-based,0.0,0.0
03: Shared Ride 3+,04: Walk,9: Work-based,0.0,0.0
04: Walk,04: Walk,9: Work-based,72592.0,64247.0
05: Bike,04: Walk,9: Work-based,0.0,0.0
06: Walk to Transit,04: Walk,9: Work-based,0.0,0.0
07: PNR to Transit,04: Walk,9: Work-based,0.0,0.0
08: KNR to Transit,04: Walk,9: Work-based,0.0,0.0
09: TNC to Transit,04: Walk,9: Work-based,0.0,0.0
01: SOV,05: Bike,9: Work-based,0.0,0.0
02: Shared Ride 2,05: Bike,9: Work-based,0.0,0.0
03: Shared Ride 3+,05: Bike,9: Work-based,0.0,0.0
04: Walk,05: Bike,9: Work-based,18.0,0.0
05: Bike,05: Bike,9: Work-based,740.0,2272.0
06: Walk to Transit,05: Bike,9: Work-based,0.0,0.0
07: PNR to Transit,05: Bike,9: Work-based,0.0,0.0
08: KNR to Transit,05: Bike,9: Work-based,0.0,0.0
09: TNC to Transit,05: Bike,9: Work-based,0.0,0.0
01: SOV,06: Walk to Transit,9: Work-based,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,9: Work-based,0.0,0.0
03: Shared Ride 3+,06: Walk to Transit,9: Work-based,0.0,0.0
04: Walk,06: Walk to Transit,9: Work-based,0.0,83.0
05: Bike,06: Walk to Transit,9: Work-based,0.0,0.0
06: Walk to Transit,06: Walk to Transit,9: Work-based,1175.0,1028.0
07: PNR to Transit,06: Walk to Transit,9: Work-based,0.0,0.0
08: KNR to Transit,06: Walk to Transit,9: Work-based,0.0,0.0
09: TNC to Transit,06: Walk to Transit,9: Work-based,0.0,0.0
01: SOV,07: PNR to Transit,9: Work-based,0.0,0.0
02: Shared Ride 2,07: PNR to Transit,9: Work-based,0.0,0.0
03: Shared Ride 3+,07: PNR to Transit,9: Work-based,0.0,0.0
04: Walk,07: PNR to Transit,9: Work-based,0.0,0.0
05: Bike,07: PNR to Transit,9: Work-based,0.0,0.0
06: Walk to Transit,07: PNR to Transit,9: Work-based,0.0,0.0
07: PNR to Transit,07: PNR to Transit,9: Work-based,101.0,0.0
08: KNR to Transit,07: PNR to Transit,9: Work-based,0.0,0.0
09: TNC to Transit,07: PNR to Transit,9: Work-based,0.0,0.0
01: SOV,08: KNR to Transit,9: Work-based,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,9: Work-based,0.0,0.0
03: Shared Ride 3+,08: KNR to Transit,9: Work-based,0.0,0.0
04: Walk,08: KNR to Transit,9: Work-based,0.0,0.0
05: Bike,08: KNR to Transit,9: Work-based,0.0,0.0
06: Walk to Transit,08: KNR to Transit,9: Work-based,0.0,0.0
07: PNR to Transit,08: KNR to Transit,9: Work-based,0.0,0.0
08: KNR to Transit,08: KNR to Transit,9: Work-based,0.0,0.0
09: TNC to Transit,08: KNR to Transit,9: Work-based,0.0,0.0
01: SOV,13: School Bus,9: Work-based,0.0,0.0
02: Shared Ride 2,13: School Bus,9: Work-based,0.0,0.0
03: Shared Ride 3+,13: School Bus,9: Work-based,0.0,0.0
04: Walk,13: School Bus,9: Work-based,0.0,0.0
05: Bike,13: School Bus,9: Work-based,0.0,0.0
06: Walk to Transit,13: School Bus,9: Work-based,0.0,0.0
07: PNR to Transit,13: School Bus,9: Work-based,0.0,0.0
08: KNR to Transit,13: School Bus,9: Work-based,0.0,0.0
09: TNC to Transit,13: School Bus,9: Work-based,0.0,0.0
01: SOV,Total,9: Work-based,133640.0,142721.0
02: Shared Ride 2,Total,9: Work-based,35984.0,37269.0
03: Shared Ride 3+,Total,9: Work-based,8969.0,12099.0
04: Walk,Total,9: Work-based,73673.0,65408.0
05: Bike,Total,9: Work-based,740.0,2272.0
06: Walk to Transit,Total,9: Work-based,1175.0,1028.0
07: PNR to Transit,Total,9: Work-based,101.0,0.0
08: KNR to Transit,Total,9: Work-based,0.0,0.0
09: TNC to Transit,Total,9: Work-based,0.0,0.0
01: SOV,01: SOV,Total,4866005.0,5012576.0
02: Shared Ride 2,01: SOV,Total,0.0,0.0
03: Shared Ride 3+,01: SOV,Total,0.0,0.0
04: Walk,01: SOV,Total,0.0,0.0
05: Bike,01: SOV,Total,0.0,0.0
06: Walk to Transit,01: SOV,Total,0.0,0.0
07: PNR to Transit,01: SOV,Total,0.0,0.0
08: KNR to Transit,01: SOV,Total,0.0,0.0
09: TNC to Transit,01: SOV,Total,0.0,0.0
01: SOV,02: Shared Ride 2,Total,813653.0,816034.0
02: Shared Ride 2,02: Shared Ride 2,Total,2427352.0,2455957.0
03: Shared Ride 3+,02: Shared Ride 2,Total,7057.0,35065.0
04: Walk,02: Shared Ride 2,Total,101298.0,80263.0
05: Bike,02: Shared Ride 2,Total,0.0,0.0
06: Walk to Transit,02: Shared Ride 2,Total,0.0,0.0
07: PNR to Transit,02: Shared Ride 2,Total,0.0,0.0
08: KNR to Transit,02: Shared Ride 2,Total,0.0,0.0
09: TNC to Transit,02: Shared Ride 2,Total,0.0,0.0
01: SOV,03: Shared Ride 3+,Total,325107.0,330071.0
02: Shared Ride 2,03: Shared Ride 3+,Total,565003.0,577712.0
03: Shared Ride 3+,03: Shared Ride 3+,Total,2323241.0,2352870.0
04: Walk,03: Shared Ride 3+,Total,72988.0,66256.0
05: Bike,03: Shared Ride 3+,Total,0.0,0.0
06: Walk to Transit,03: Shared Ride 3+,Total,0.0,0.0
07: PNR to Transit,03: Shared Ride 3+,Total,0.0,0.0
08: KNR to Transit,03: Shared Ride 3+,Total,0.0,0.0
09: TNC to Transit,03: Shared Ride 3+,Total,0.0,0.0
01: SOV,04: Walk,Total,0.0,0.0
02: Shared Ride 2,04: Walk,Total,0.0,0.0
03: Shared Ride 3+,04: Walk,Total,0.0,0.0
04: Walk,04: Walk,Total,698021.0,695154.0
05: Bike,04: Walk,Total,0.0,0.0
06: Walk to Transit,04: Walk,Total,0.0,0.0
07: PNR to Transit,04: Walk,Total,0.0,0.0
08: KNR to Transit,04: Walk,Total,0.0,0.0
09: TNC to Transit,04: Walk,Total,0.0,0.0
01: SOV,05: Bike,Total,11985.0,0.0
02: Shared Ride 2,05: Bike,Total,8578.0,0.0
03: Shared Ride 3+,05: Bike,Total,2070.0,0.0
04: Walk,05: Bike,Total,3069.0,0.0
05: Bike,05: Bike,Total,81955.0,108867.0
06: Walk to Transit,05: Bike,Total,0.0,0.0
07: PNR to Transit,05: Bike,Total,0.0,0.0
08: KNR to Transit,05: Bike,Total,0.0,0.0
09: TNC to Transit,05: Bike,Total,0.0,0.0
01: SOV,06: Walk to Transit,Total,0.0,0.0
02: Shared Ride 2,06: Walk to Transit,Total,3994.0,9248.0
03: Shared Ride 3+,06: Walk to Transit,Total,1204.0,5021.0
04: Walk,06: Walk to Transit,Total,12814.0,25007.0
05: Bike,06: Walk to Transit,Total,108.0,0.0
06: Walk to Transit,06: Walk to Transit,Total,158098.0,157206.0
07: PNR to Transit,06: Walk to Transit,Total,0.0,0.0
08: KNR to Transit,06: Walk to Transit,Total,0.0,0.0
09: TNC to Transit,06: Walk to Transit,Total,836.0,0.0
01: SOV,07: PNR to Transit,Total,4983.0,2079.0
02: Shared Ride 2,07: PNR to Transit,Total,6008.0,2757.0
03: Shared Ride 3+,07: PNR to Transit,Total,2079.0,863.0
04: Walk,07: PNR to Transit,Total,2004.0,572.0
05: Bike,07: PNR to Transit,Total,129.0,0.0
06: Walk to Transit,07: PNR to Transit,Total,2920.0,1429.0
07: PNR to Transit,07: PNR to Transit,Total,9653.0,10187.0
08: KNR to Transit,07: PNR to Transit,Total,34.0,0.0
09: TNC to Transit,07: PNR to Transit,Total,0.0,0.0
01: SOV,08: KNR to Transit,Total,0.0,0.0
02: Shared Ride 2,08: KNR to Transit,Total,15964.0,11925.0
03: Shared Ride 3+,08: KNR to Transit,Total,7666.0,7719.0
04: Walk,08: KNR to Transit,Total,12176.0,2702.0
05: Bike,08: KNR to Transit,Total,0.0,0.0
06: Walk to Transit,08: KNR to Transit,Total,10886.0,4613.0
07: PNR to Transit,08: KNR to Transit,Total,0.0,0.0
08: KNR to Transit,08: KNR to Transit,Total,20305.0,19991.0
09: TNC to Transit,08: KNR to Transit,Total,0.0,564.0
01: SOV,13: School Bus,Total,756.0,0.0
02: Shared Ride 2,13: School Bus,Total,8671.0,0.0
03: Shared Ride 3+,13: School Bus,Total,18278.0,0.0
04: Walk,13: School Bus,Total,241.0,0.0
05: Bike,13: School Bus,Total,0.0,0.0
06: Walk to Transit,13: School Bus,Total,0.0,0.0
07: PNR to Transit,13: School Bus,Total,0.0,0.0
08: KNR to Transit,13: School Bus,Total,0.0,0.0
09: TNC to Transit,13: School Bus,Total,115273.0,0.0
01: SOV,Total,Total,6022488.0,6160760.0
02: Shared Ride 2,Total,Total,3035570.0,3066544.0
03: Shared Ride 3+,Total,Total,2361596.0,2411343.0
04: Walk,Total,Total,902612.0,894390.0
05: Bike,Total,Total,82193.0,108867.0
06: Walk to Transit,Total,Total,171904.0,163724.0
07: PNR to Transit,Total,Total,9653.0,10187.0
08: KNR to Transit,Total,Total,20339.0,21901.0
09: TNC to Transit,Total,Total,116109.0,564.0
01: SOV,01: SOV,4: Escort,0.0,689523.0
01: SOV,02: Shared Ride 2,4: Escort,0.0,275691.0
01: SOV,03: Shared Ride 3+,4: Escort,0.0,110511.0
01: SOV,07: PNR to Transit,4: Escort,0.0,4.0
02: Shared Ride 2,02: Shared Ride 2,4: Escort,0.0,655177.0
02: Shared Ride 2,03: Shared Ride 3+,4: Escort,0.0,217232.0
02: Shared Ride 2,06: Walk to Transit,4: Escort,0.0,1.0
02: Shared Ride 2,08: KNR to Transit,4: Escort,0.0,2.0
02: Shared Ride 2,09: TNC to Transit,1: Work,0.0,6.0
02: Shared Ride 2,09: TNC to Transit,6: Individual Discretionary,0.0,444.0
02: Shared Ride 2,10: Taxi,1: Work,0.0,36.0
02: Shared Ride 2,10: Taxi,2: University,0.0,1.0
02: Shared Ride 2,10: Taxi,4: Escort,0.0,34.0
02: Shared Ride 2,10: Taxi,5: Individual Maintenance,0.0,75.0
02: Shared Ride 2,10: Taxi,6: Individual Discretionary,0.0,277.0
02: Shared Ride 2,10: Taxi,7: Joint Maintenance,0.0,162.0
02: Shared Ride 2,10: Taxi,8: Joint Discretionary,0.0,183.0
02: Shared Ride 2,11: TNC Single,1: Work,0.0,76.0
02: Shared Ride 2,11: TNC Single,4: Escort,0.0,33.0
02: Shared Ride 2,11: TNC Single,5: Individual Maintenance,0.0,116.0
02: Shared Ride 2,11: TNC Single,6: Individual Discretionary,0.0,325.0
02: Shared Ride 2,11: TNC Single,7: Joint Maintenance,0.0,192.0
02: Shared Ride 2,11: TNC Single,8: Joint Discretionary,0.0,220.0
02: Shared Ride 2,12: TNC Shared,1: Work,0.0,893.0
02: Shared Ride 2,12: TNC Shared,2: University,0.0,23.0
02: Shared Ride 2,12: TNC Shared,4: Escort,0.0,1038.0
02: Shared Ride 2,12: TNC Shared,5: Individual Maintenance,0.0,1257.0
02: Shared Ride 2,12: TNC Shared,6: Individual Discretionary,0.0,1625.0
02: Shared Ride 2,12: TNC Shared,7: Joint Maintenance,0.0,757.0
