OwnershipCategory,tour_mode,purpose,freq
1: 1+ Veh/Adults > Veh,07: PNR to Transit,4: Escort,2
1: 1+ Veh/Adults > Veh,07: PNR to Transit,5: Individual Maintenance,237
1: 1+ Veh/Adults > Veh,07: PNR to Transit,6: Individual Discretionary,153
1: 1+ Veh/Adults > Veh,08: KNR to Transit,1: Work,4887
1: 1+ Veh/Adults > Veh,08: KNR to Transit,2: University,1610
1: 1+ Veh/Adults > Veh,08: KNR to Transit,3: School,635
1: 1+ Veh/Adults > Veh,08: KNR to Transit,4: Escort,5
1: 1+ Veh/Adults > Veh,08: KNR to Transit,5: Individual Maintenance,837
1: 1+ Veh/Adults > Veh,08: KNR to Transit,6: Individual Discretionary,2061
1: 1+ Veh/Adults > Veh,10: Taxi,1: Work,129
1: 1+ Veh/Adults > Veh,10: Taxi,4: Escort,28
1: 1+ Veh/Adults > Veh,10: Taxi,5: Individual Maintenance,22
1: 1+ Veh/Adults > Veh,10: Taxi,6: Individual Discretionary,268
1: 1+ Veh/Adults > Veh,10: Taxi,9: Work-based,55
1: 1+ Veh/Adults > Veh,11: TNC Single,1: Work,256
1: 1+ Veh/Adults > Veh,11: TNC Single,4: Escort,19
1: 1+ Veh/Adults > Veh,11: TNC Single,5: Individual Maintenance,17
1: 1+ Veh/Adults > Veh,11: TNC Single,6: Individual Discretionary,249
1: 1+ Veh/Adults > Veh,11: TNC Single,9: Work-based,36
1: 1+ Veh/Adults > Veh,12: TNC Shared,1: Work,1376
1: 1+ Veh/Adults > Veh,12: TNC Shared,4: Escort,75
1: 1+ Veh/Adults > Veh,12: TNC Shared,5: Individual Maintenance,50
1: 1+ Veh/Adults > Veh,12: TNC Shared,6: Individual Discretionary,1040
1: 1+ Veh/Adults > Veh,12: TNC Shared,9: Work-based,107
1: 1+ Veh/Adults > Veh,13: School Bus,3: School,24781
2: Vehicles >= Adults,01: SOV,1: Work,598567
2: Vehicles >= Adults,01: SOV,2: University,39521
2: Vehicles >= Adults,01: SOV,3: School,10224
2: Vehicles >= Adults,01: SOV,4: Escort,169476
2: Vehicles >= Adults,01: SOV,5: Individual Maintenance,235043
2: Vehicles >= Adults,01: SOV,6: Individual Discretionary,146845
2: Vehicles >= Adults,01: SOV,9: Work-based,48651
2: Vehicles >= Adults,02: Shared Ride 2,1: Work,127345
2: Vehicles >= Adults,02: Shared Ride 2,2: University,10194
2: Vehicles >= Adults,02: Shared Ride 2,3: School,175080
2: Vehicles >= Adults,02: Shared Ride 2,4: Escort,238827
2: Vehicles >= Adults,02: Shared Ride 2,5: Individual Maintenance,93029
2: Vehicles >= Adults,02: Shared Ride 2,6: Individual Discretionary,73330
2: Vehicles >= Adults,02: Shared Ride 2,9: Work-based,11800
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,76634
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,7966
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,216246
2: Vehicles >= Adults,03: Shared Ride 3+,4: Escort,298471
2: Vehicles >= Adults,03: Shared Ride 3+,5: Individual Maintenance,144320
2: Vehicles >= Adults,03: Shared Ride 3+,6: Individual Discretionary,82377
2: Vehicles >= Adults,03: Shared Ride 3+,9: Work-based,5975
2: Vehicles >= Adults,04: Walk,1: Work,5757
2: Vehicles >= Adults,04: Walk,2: University,2024
2: Vehicles >= Adults,04: Walk,3: School,9344
2: Vehicles >= Adults,04: Walk,4: Escort,13549
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,33107
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,34530
2: Vehicles >= Adults,04: Walk,9: Work-based,22628
2: Vehicles >= Adults,05: Bike,1: Work,10778
2: Vehicles >= Adults,05: Bike,3: School,5789
2: Vehicles >= Adults,05: Bike,4: Escort,331
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,1207
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,6956
2: Vehicles >= Adults,05: Bike,9: Work-based,563
