purpose,avgDist
1: Work,3.75402332530967
2: University,3.9420434203977277
3: School,8.336021895650243
4: Escort,3.939174141091446
5: Individual Maintenance,3.901526401433428
6: Individual Discretionary,3.5187649765182005
7: Joint Maintenance,4.376141153054616
8: Joint Discretionary,3.942514990769293
9: Work-based,6.650778826579643
Total,4.36226284762094
