distbin,purpose,freq
39,4: Escort,89
39,5: Individual Maintenance,448
39,6: Individual Discretionary,497
39,7: Joint Maintenance,85
39,8: Joint Discretionary,83
39,9: Work-based,3
40,4: Escort,97
40,5: Individual Maintenance,462
40,6: Individual Discretionary,459
40,7: Joint Maintenance,88
40,8: Joint Discretionary,62
40,9: Work-based,1
41,4: Escort,78
41,5: Individual Maintenance,457
41,6: Individual Discretionary,446
41,7: Joint Maintenance,75
41,8: Joint Discretionary,80
41,9: Work-based,2
99999,4: Escort,1346
99999,5: Individual Maintenance,8205
99999,6: Individual Discretionary,6082
99999,7: Joint Maintenance,1213
99999,8: Joint Discretionary,1050
99999,9: Work-based,9
