distbin,purpose,freq
29,5: Individual Maintenance,1179
29,6: Individual Discretionary,547
29,7: Joint Maintenance,207
29,8: Joint Discretionary,106
29,9: Work-based,119
30,1: Work,2449
30,2: University,176
30,3: School,2912
30,4: Escort,793
30,5: Individual Maintenance,1007
30,6: Individual Discretionary,496
30,7: Joint Maintenance,200
30,8: Joint Discretionary,109
30,9: Work-based,106
31,1: Work,2035
31,2: University,141
31,3: School,2595
31,4: Escort,664
31,5: Individual Maintenance,851
31,6: Individual Discretionary,421
31,7: Joint Maintenance,185
31,8: Joint Discretionary,82
31,9: Work-based,127
32,1: Work,1950
32,2: University,149
32,3: School,2319
32,4: Escort,604
32,5: Individual Maintenance,813
32,6: Individual Discretionary,358
32,7: Joint Maintenance,170
32,8: Joint Discretionary,87
32,9: Work-based,103
33,1: Work,1564
33,2: University,125
33,3: School,2273
33,4: Escort,509
33,5: Individual Maintenance,692
33,6: Individual Discretionary,310
33,7: Joint Maintenance,141
33,8: Joint Discretionary,61
33,9: Work-based,99
34,1: Work,1432
34,2: University,108
34,3: School,2123
34,4: Escort,445
34,5: Individual Maintenance,598
34,6: Individual Discretionary,276
34,7: Joint Maintenance,120
34,8: Joint Discretionary,56
34,9: Work-based,82
35,1: Work,1376
35,2: University,102
35,3: School,1954
35,4: Escort,405
35,5: Individual Maintenance,533
35,6: Individual Discretionary,269
35,7: Joint Maintenance,120
35,8: Joint Discretionary,55
35,9: Work-based,87
36,1: Work,1157
36,2: University,80
36,3: School,1709
36,4: Escort,374
36,5: Individual Maintenance,480
36,6: Individual Discretionary,204
36,7: Joint Maintenance,99
36,8: Joint Discretionary,51
36,9: Work-based,73
37,1: Work,1090
37,2: University,65
37,3: School,1487
37,4: Escort,273
37,5: Individual Maintenance,427
37,6: Individual Discretionary,197
37,7: Joint Maintenance,96
37,8: Joint Discretionary,33
37,9: Work-based,76
38,1: Work,1216
38,2: University,61
38,3: School,1495
38,4: Escort,230
38,5: Individual Maintenance,348
38,6: Individual Discretionary,200
38,7: Joint Maintenance,77
38,8: Joint Discretionary,39
38,9: Work-based,78
39,1: Work,801
39,2: University,46
39,3: School,1270
39,4: Escort,194
39,5: Individual Maintenance,318
39,6: Individual Discretionary,140
39,7: Joint Maintenance,66
39,8: Joint Discretionary,35
39,9: Work-based,66
40,1: Work,691
40,2: University,51
40,3: School,1203
40,4: Escort,178
40,5: Individual Maintenance,299
40,6: Individual Discretionary,126
40,7: Joint Maintenance,63
40,8: Joint Discretionary,28
40,9: Work-based,61
41,1: Work,671
41,2: University,39
41,3: School,1095
41,4: Escort,150
41,5: Individual Maintenance,227
41,6: Individual Discretionary,146
41,7: Joint Maintenance,51
41,8: Joint Discretionary,23
41,9: Work-based,70
42,1: Work,869
42,2: University,36
42,3: School,1041
42,4: Escort,141
42,5: Individual Maintenance,218
42,6: Individual Discretionary,96
42,7: Joint Maintenance,46
42,8: Joint Discretionary,22
42,9: Work-based,62
43,1: Work,652
43,2: University,32
43,3: School,882
43,4: Escort,129
43,5: Individual Maintenance,180
43,6: Individual Discretionary,113
43,7: Joint Maintenance,34
43,8: Joint Discretionary,22
43,9: Work-based,44
100000,1: Work,4629
100000,2: University,226
100000,3: School,8834
100000,4: Escort,952
100000,5: Individual Maintenance,1421
100000,6: Individual Discretionary,932
100000,7: Joint Maintenance,349
100000,8: Joint Discretionary,208
100000,9: Work-based,868
