purpose,avgDist
4: Escort,4.995049138693254
5: Individual Maintenance,4.896731369961884
6: Individual Discretionary,5.219612274256935
7: Joint Maintenance,6.2606413241758005
8: Joint Discretionary,5.6802468582691885
9: Work-based,3.4197398926248685
Total,5.007363663468101
