distbin,District,purpose,value
17,7: North County East,School,355.0
17,8: East County,School,153.0
18,1: Downtown,School,45.0
18,2: Central,School,1210.0
18,3: North City,School,1809.0
18,4: South Suburban,School,270.0
18,5: East Suburban,School,580.0
18,6: North County West,School,234.0
18,7: North County East,School,313.0
18,8: East County,School,111.0
19,1: Downtown,School,20.0
19,2: Central,School,977.0
19,3: North City,School,1321.0
19,4: South Suburban,School,240.0
19,5: East Suburban,School,504.0
19,6: North County West,School,254.0
19,7: North County East,School,265.0
19,8: East County,School,255.0
20,1: Downtown,School,11.0
20,2: Central,School,652.0
20,3: North City,School,890.0
20,4: South Suburban,School,192.0
20,5: East Suburban,School,500.0
20,6: North County West,School,201.0
20,7: North County East,School,239.0
20,8: East County,School,197.0
21,1: Downtown,School,6.0
21,2: Central,School,298.0
21,3: North City,School,452.0
21,4: South Suburban,School,114.0
21,5: East Suburban,School,281.0
21,6: North County West,School,108.0
21,7: North County East,School,200.0
21,8: East County,School,128.0
22,1: Downtown,School,4.0
22,2: Central,School,212.0
22,3: North City,School,299.0
22,4: South Suburban,School,78.0
22,5: East Suburban,School,232.0
22,6: North County West,School,101.0
22,7: North County East,School,118.0
22,8: East County,School,66.0
23,1: Downtown,School,1.0
23,2: Central,School,138.0
23,3: North City,School,177.0
23,4: South Suburban,School,41.0
23,5: East Suburban,School,169.0
23,6: North County West,School,53.0
23,7: North County East,School,82.0
23,8: East County,School,24.0
24,1: Downtown,School,1.0
24,2: Central,School,111.0
24,3: North City,School,134.0
24,4: South Suburban,School,33.0
24,5: East Suburban,School,140.0
24,6: North County West,School,86.0
24,7: North County East,School,57.0
24,8: East County,School,100.0
25,1: Downtown,School,
25,2: Central,School,64.0
25,3: North City,School,119.0
25,4: South Suburban,School,22.0
25,5: East Suburban,School,112.0
25,6: North County West,School,46.0
25,7: North County East,School,51.0
25,8: East County,School,100.0
26,1: Downtown,School,
26,2: Central,School,57.0
26,3: North City,School,75.0
26,4: South Suburban,School,13.0
26,5: East Suburban,School,72.0
26,6: North County West,School,35.0
26,7: North County East,School,44.0
26,8: East County,School,71.0
27,1: Downtown,School,
27,2: Central,School,22.0
27,3: North City,School,33.0
27,4: South Suburban,School,11.0
27,5: East Suburban,School,53.0
27,6: North County West,School,20.0
27,7: North County East,School,56.0
27,8: East County,School,28.0
28,1: Downtown,School,
28,2: Central,School,11.0
28,3: North City,School,36.0
28,4: South Suburban,School,4.0
28,5: East Suburban,School,41.0
28,6: North County West,School,17.0
28,7: North County East,School,45.0
28,8: East County,School,73.0
29,1: Downtown,School,
29,2: Central,School,
29,3: North City,School,12.0
29,4: South Suburban,School,5.0
29,5: East Suburban,School,25.0
29,6: North County West,School,11.0
29,7: North County East,School,19.0
29,8: East County,School,66.0
30,1: Downtown,School,
30,2: Central,School,1.0
30,3: North City,School,19.0
30,4: South Suburban,School,
30,5: East Suburban,School,35.0
30,6: North County West,School,10.0
30,7: North County East,School,16.0
30,8: East County,School,57.0
31,1: Downtown,School,
31,2: Central,School,
31,3: North City,School,7.0
31,4: South Suburban,School,3.0
31,5: East Suburban,School,3.0
31,6: North County West,School,31.0
31,7: North County East,School,10.0
31,8: East County,School,57.0
32,1: Downtown,School,
32,2: Central,School,
32,3: North City,School,
32,4: South Suburban,School,2.0
32,5: East Suburban,School,6.0
32,6: North County West,School,5.0
32,7: North County East,School,7.0
32,8: East County,School,5.0
33,1: Downtown,School,
33,2: Central,School,
33,3: North City,School,
33,4: South Suburban,School,1.0
33,5: East Suburban,School,8.0
33,6: North County West,School,65.0
33,7: North County East,School,9.0
33,8: East County,School,58.0
34,1: Downtown,School,
34,2: Central,School,1.0
34,3: North City,School,3.0
34,4: South Suburban,School,
34,5: East Suburban,School,2.0
34,6: North County West,School,2.0
34,7: North County East,School,6.0
34,8: East County,School,26.0
35,1: Downtown,School,
35,2: Central,School,1.0
35,3: North City,School,
35,4: South Suburban,School,
35,5: East Suburban,School,1.0
35,6: North County West,School,320.0
35,7: North County East,School,
35,8: East County,School,2.0
36,1: Downtown,School,
36,2: Central,School,
36,3: North City,School,
36,4: South Suburban,School,
36,5: East Suburban,School,3.0
36,6: North County West,School,7.0
36,7: North County East,School,12.0
36,8: East County,School,4.0
37,1: Downtown,School,
37,2: Central,School,
37,3: North City,School,
37,4: South Suburban,School,
37,5: East Suburban,School,1.0
37,6: North County West,School,6.0
37,7: North County East,School,5.0
37,8: East County,School,12.0
38,1: Downtown,School,
38,2: Central,School,
38,3: North City,School,
38,4: South Suburban,School,
38,5: East Suburban,School,2.0
38,6: North County West,School,1.0
38,7: North County East,School,
38,8: East County,School,1.0
39,1: Downtown,School,
39,2: Central,School,
39,3: North City,School,
39,4: South Suburban,School,
39,5: East Suburban,School,
39,6: North County West,School,
39,7: North County East,School,1.0
39,8: East County,School,
40,1: Downtown,School,
40,2: Central,School,
40,3: North City,School,
40,4: South Suburban,School,
40,5: East Suburban,School,
40,6: North County West,School,
40,7: North County East,School,
40,8: East County,School,5.0
41,1: Downtown,School,
41,2: Central,School,
41,3: North City,School,
41,4: South Suburban,School,
41,5: East Suburban,School,1.0
41,6: North County West,School,
41,7: North County East,School,
41,8: East County,School,3.0
42,1: Downtown,School,
42,2: Central,School,1.0
42,3: North City,School,
42,4: South Suburban,School,1.0
42,5: East Suburban,School,
42,6: North County West,School,1.0
42,7: North County East,School,
42,8: East County,School,2.0
43,1: Downtown,School,
43,2: Central,School,
43,3: North City,School,
43,4: South Suburban,School,
43,5: East Suburban,School,1.0
43,6: North County West,School,
43,7: North County East,School,
43,8: East County,School,1.0
44,1: Downtown,School,
44,2: Central,School,1.0
44,3: North City,School,
44,4: South Suburban,School,
44,5: East Suburban,School,
44,6: North County West,School,
44,7: North County East,School,
44,8: East County,School,1.0
45,1: Downtown,School,
45,2: Central,School,
45,3: North City,School,
45,4: South Suburban,School,
45,5: East Suburban,School,
45,6: North County West,School,
45,7: North County East,School,
45,8: East County,School,
46,2: Central,School,
46,3: North City,School,
46,4: South Suburban,School,
46,5: East Suburban,School,
46,6: North County West,School,
46,7: North County East,School,
46,8: East County,School,2.0
47,2: Central,School,
47,3: North City,School,
47,4: South Suburban,School,
47,5: East Suburban,School,
47,6: North County West,School,1.0
47,7: North County East,School,1.0
47,8: East County,School,2.0
48,1: Downtown,School,
48,2: Central,School,
48,3: North City,School,
48,4: South Suburban,School,
48,5: East Suburban,School,
48,6: North County West,School,
48,7: North County East,School,
48,8: East County,School,
49,1: Downtown,School,
49,2: Central,School,
49,3: North City,School,
49,4: South Suburban,School,
49,5: East Suburban,School,
49,6: North County West,School,
49,7: North County East,School,
49,8: East County,School,
50,2: Central,School,
50,3: North City,School,
50,4: South Suburban,School,
50,5: East Suburban,School,
50,6: North County West,School,
50,7: North County East,School,1.0
50,8: East County,School,1.0
99999,1: Downtown,School,
99999,2: Central,School,
99999,3: North City,School,
99999,4: South Suburban,School,
99999,5: East Suburban,School,4.0
99999,6: North County West,School,
99999,7: North County East,School,3.0
99999,8: East County,School,16.0
