distbin,District,purpose,value
25,7: North County East,Work,3358.0
25,8: East County,Work,231.0
26,1: Downtown,Work,37.0
26,2: Central,Work,1099.0
26,3: North City,Work,3413.0
26,4: South Suburban,Work,2100.0
26,5: East Suburban,Work,3003.0
26,6: North County West,Work,2786.0
26,7: North County East,Work,3364.0
26,8: East County,Work,186.0
27,1: Downtown,Work,38.0
27,2: Central,Work,773.0
27,3: North City,Work,2866.0
27,4: South Suburban,Work,1958.0
27,5: East Suburban,Work,2568.0
27,6: North County West,Work,2727.0
27,7: North County East,Work,3003.0
27,8: East County,Work,190.0
28,1: Downtown,Work,31.0
28,2: Central,Work,636.0
28,3: North City,Work,2407.0
28,4: South Suburban,Work,1605.0
28,5: East Suburban,Work,2095.0
28,6: North County West,Work,2509.0
28,7: North County East,Work,2657.0
28,8: East County,Work,185.0
29,1: Downtown,Work,23.0
29,2: Central,Work,554.0
29,3: North City,Work,1854.0
29,4: South Suburban,Work,1264.0
29,5: East Suburban,Work,1881.0
29,6: North County West,Work,2149.0
29,7: North County East,Work,2504.0
29,8: East County,Work,188.0
30,1: Downtown,Work,15.0
30,2: Central,Work,458.0
30,3: North City,Work,1586.0
30,4: South Suburban,Work,913.0
30,5: East Suburban,Work,1485.0
30,6: North County West,Work,2116.0
30,7: North County East,Work,2427.0
30,8: East County,Work,186.0
31,1: Downtown,Work,14.0
31,2: Central,Work,442.0
31,3: North City,Work,1270.0
31,4: South Suburban,Work,820.0
31,5: East Suburban,Work,1313.0
31,6: North County West,Work,1859.0
31,7: North County East,Work,2180.0
31,8: East County,Work,221.0
32,1: Downtown,Work,38.0
32,2: Central,Work,467.0
32,3: North City,Work,1035.0
32,4: South Suburban,Work,708.0
32,5: East Suburban,Work,1234.0
32,6: North County West,Work,1686.0
32,7: North County East,Work,2118.0
32,8: East County,Work,136.0
33,1: Downtown,Work,37.0
33,2: Central,Work,486.0
33,3: North City,Work,849.0
33,4: South Suburban,Work,542.0
33,5: East Suburban,Work,1012.0
33,6: North County West,Work,1509.0
33,7: North County East,Work,1932.0
33,8: East County,Work,109.0
34,1: Downtown,Work,46.0
34,2: Central,Work,363.0
34,3: North City,Work,689.0
34,4: South Suburban,Work,469.0
34,5: East Suburban,Work,861.0
34,6: North County West,Work,1319.0
34,7: North County East,Work,1732.0
34,8: East County,Work,168.0
35,1: Downtown,Work,34.0
35,2: Central,Work,362.0
35,3: North City,Work,467.0
35,4: South Suburban,Work,327.0
35,5: East Suburban,Work,730.0
35,6: North County West,Work,1117.0
35,7: North County East,Work,1438.0
35,8: East County,Work,134.0
36,1: Downtown,Work,24.0
36,2: Central,Work,288.0
36,3: North City,Work,425.0
36,4: South Suburban,Work,258.0
36,5: East Suburban,Work,706.0
36,6: North County West,Work,984.0
36,7: North County East,Work,1158.0
36,8: East County,Work,171.0
37,1: Downtown,Work,9.0
37,2: Central,Work,258.0
37,3: North City,Work,335.0
37,4: South Suburban,Work,166.0
37,5: East Suburban,Work,602.0
37,6: North County West,Work,808.0
37,7: North County East,Work,963.0
37,8: East County,Work,216.0
38,1: Downtown,Work,18.0
38,2: Central,Work,213.0
38,3: North City,Work,292.0
38,4: South Suburban,Work,152.0
38,5: East Suburban,Work,571.0
38,6: North County West,Work,676.0
38,7: North County East,Work,874.0
38,8: East County,Work,149.0
39,1: Downtown,Work,11.0
39,2: Central,Work,212.0
39,3: North City,Work,229.0
39,4: South Suburban,Work,147.0
39,5: East Suburban,Work,528.0
39,6: North County West,Work,538.0
39,7: North County East,Work,725.0
39,8: East County,Work,154.0
40,1: Downtown,Work,3.0
40,2: Central,Work,156.0
40,3: North City,Work,147.0
40,4: South Suburban,Work,137.0
40,5: East Suburban,Work,450.0
40,6: North County West,Work,490.0
40,7: North County East,Work,624.0
40,8: East County,Work,141.0
41,1: Downtown,Work,10.0
41,2: Central,Work,116.0
41,3: North City,Work,112.0
41,4: South Suburban,Work,115.0
41,5: East Suburban,Work,345.0
41,6: North County West,Work,389.0
41,7: North County East,Work,524.0
41,8: East County,Work,184.0
42,1: Downtown,Work,4.0
42,2: Central,Work,99.0
42,3: North City,Work,84.0
42,4: South Suburban,Work,112.0
42,5: East Suburban,Work,234.0
42,6: North County West,Work,330.0
42,7: North County East,Work,428.0
42,8: East County,Work,135.0
43,1: Downtown,Work,6.0
43,2: Central,Work,76.0
43,3: North City,Work,68.0
43,4: South Suburban,Work,107.0
43,5: East Suburban,Work,193.0
43,6: North County West,Work,257.0
43,7: North County East,Work,361.0
43,8: East County,Work,154.0
44,1: Downtown,Work,2.0
44,2: Central,Work,51.0
44,3: North City,Work,71.0
44,4: South Suburban,Work,123.0
44,5: East Suburban,Work,162.0
44,6: North County West,Work,240.0
44,7: North County East,Work,339.0
44,8: East County,Work,120.0
45,1: Downtown,Work,1.0
45,2: Central,Work,37.0
45,3: North City,Work,64.0
45,4: South Suburban,Work,63.0
45,5: East Suburban,Work,140.0
45,6: North County West,Work,184.0
45,7: North County East,Work,262.0
45,8: East County,Work,147.0
46,2: Central,Work,28.0
46,3: North City,Work,51.0
46,4: South Suburban,Work,70.0
46,5: East Suburban,Work,123.0
46,6: North County West,Work,161.0
46,7: North County East,Work,197.0
46,8: East County,Work,134.0
47,2: Central,Work,24.0
47,3: North City,Work,35.0
47,4: South Suburban,Work,80.0
