tourdur,purpose,freq
12.5,7: Joint Maintenance,38
12.5,8: Joint Discretionary,49
13.0,1: Work,22375
13.0,2: University,800
13.0,3: School,2017
13.0,4: Escort,13
13.0,5: Individual Maintenance,312
13.0,6: Individual Discretionary,694
13.0,7: Joint Maintenance,28
13.0,8: Joint Discretionary,27
13.5,1: Work,14120
13.5,2: University,748
13.5,3: School,1262
13.5,4: Escort,7
13.5,5: Individual Maintenance,256
13.5,6: Individual Discretionary,579
13.5,7: Joint Maintenance,20
13.5,8: Joint Discretionary,29
14.0,1: Work,9196
14.0,2: University,576
14.0,3: School,744
14.0,4: Escort,5
14.0,5: Individual Maintenance,209
14.0,6: Individual Discretionary,445
14.0,7: Joint Maintenance,22
14.0,8: Joint Discretionary,11
14.0,9: Work-based,1
14.5,1: Work,5212
14.5,2: University,508
14.5,3: School,491
14.5,4: Escort,2
14.5,5: Individual Maintenance,154
14.5,6: Individual Discretionary,341
14.5,7: Joint Maintenance,10
14.5,8: Joint Discretionary,15
15.0,1: Work,2887
15.0,2: University,411
15.0,3: School,375
15.0,4: Escort,1
15.0,5: Individual Maintenance,85
15.0,6: Individual Discretionary,226
15.0,7: Joint Maintenance,12
15.0,8: Joint Discretionary,11
15.5,1: Work,1460
15.5,2: University,286
15.5,3: School,293
15.5,4: Escort,2
15.5,5: Individual Maintenance,86
15.5,6: Individual Discretionary,168
15.5,7: Joint Maintenance,8
15.5,8: Joint Discretionary,11
16.0,1: Work,711
16.0,2: University,216
16.0,3: School,289
16.0,4: Escort,2
16.0,5: Individual Maintenance,48
16.0,6: Individual Discretionary,144
16.0,7: Joint Maintenance,2
16.0,8: Joint Discretionary,6
16.5,1: Work,296
16.5,2: University,165
16.5,3: School,250
16.5,5: Individual Maintenance,32
16.5,6: Individual Discretionary,75
16.5,8: Joint Discretionary,1
17.0,1: Work,101
17.0,2: University,88
17.0,3: School,197
17.0,5: Individual Maintenance,14
17.0,6: Individual Discretionary,39
17.0,8: Joint Discretionary,1
17.5,1: Work,27
17.5,2: University,66
17.5,3: School,113
17.5,5: Individual Maintenance,13
17.5,6: Individual Discretionary,31
18.0,1: Work,10
18.0,2: University,12
18.0,3: School,44
18.0,5: Individual Maintenance,1
18.0,6: Individual Discretionary,16
18.0,8: Joint Discretionary,1
18.5,1: Work,3
18.5,2: University,8
18.5,3: School,22
18.5,5: Individual Maintenance,3
18.5,6: Individual Discretionary,8
19.0,1: Work,1
19.0,2: University,6
19.0,3: School,24
19.0,6: Individual Discretionary,2
19.5,2: University,4
19.5,3: School,14
19.5,5: Individual Maintenance,1
19.5,6: Individual Discretionary,2
20.0,3: School,6
20.0,5: Individual Maintenance,1
