period,purpose,freq_dep,freq_arr,skim_period
11.75,7: Joint Maintenance,3063,4508.0,3: MD
11.75,8: Joint Discretionary,2216,1371.0,3: MD
11.75,9: Work-based,20349,5902.0,3: MD
12.25,1: Work,17143,12701.0,3: MD
12.25,2: University,2968,8747.0,3: MD
12.25,3: School,1396,8770.0,3: MD
12.25,4: Escort,13625,12400.0,3: MD
12.25,5: Individual Maintenance,27923,39925.0,3: MD
12.25,6: Individual Discretionary,14821,14625.0,3: MD
12.25,7: Joint Maintenance,2909,4593.0,3: MD
12.25,8: Joint Discretionary,1764,1717.0,3: MD
12.25,9: Work-based,24712,11969.0,3: MD
12.75,1: Work,16761,15733.0,3: MD
12.75,2: University,2620,5528.0,3: MD
12.75,3: School,1044,12149.0,3: MD
12.75,4: Escort,14766,13596.0,3: MD
12.75,5: Individual Maintenance,27719,34647.0,3: MD
12.75,6: Individual Discretionary,10417,15118.0,3: MD
12.75,7: Joint Maintenance,2893,3800.0,3: MD
12.75,8: Joint Discretionary,1238,1864.0,3: MD
12.75,9: Work-based,15220,27444.0,3: MD
13.25,1: Work,16640,20045.0,3: MD
13.25,2: University,2141,4465.0,3: MD
13.25,3: School,1229,15370.0,3: MD
13.25,4: Escort,16328,15106.0,3: MD
13.25,5: Individual Maintenance,27429,32971.0,3: MD
13.25,6: Individual Discretionary,10457,15093.0,3: MD
13.25,7: Joint Maintenance,2780,3440.0,3: MD
13.25,8: Joint Discretionary,1214,1837.0,3: MD
13.25,9: Work-based,7531,18344.0,3: MD
13.75,1: Work,15934,26602.0,3: MD
13.75,2: University,1845,4716.0,3: MD
13.75,3: School,1408,18736.0,3: MD
13.75,4: Escort,54574,14656.0,3: MD
13.75,5: Individual Maintenance,26047,37132.0,3: MD
13.75,6: Individual Discretionary,10349,15252.0,3: MD
13.75,7: Joint Maintenance,2608,3780.0,3: MD
13.75,8: Joint Discretionary,1221,1830.0,3: MD
13.75,9: Work-based,3963,9792.0,3: MD
14.25,1: Work,15242,35206.0,3: MD
14.25,2: University,1483,4952.0,3: MD
14.25,3: School,1584,49158.0,3: MD
14.25,4: Escort,89400,51410.0,3: MD
14.25,5: Individual Maintenance,24439,33090.0,3: MD
14.25,6: Individual Discretionary,9885,13148.0,3: MD
14.25,7: Joint Maintenance,2580,3358.0,3: MD
14.25,8: Joint Discretionary,1282,1751.0,3: MD
14.25,9: Work-based,2961,6333.0,3: MD
14.75,1: Work,14626,43238.0,3: MD
14.75,2: University,1264,5033.0,3: MD
14.75,3: School,1881,121138.0,3: MD
14.75,4: Escort,77880,92902.0,3: MD
14.75,5: Individual Maintenance,24406,31658.0,3: MD
14.75,6: Individual Discretionary,10609,12337.0,3: MD
14.75,7: Joint Maintenance,2585,3317.0,3: MD
14.75,8: Joint Discretionary,1543,1632.0,3: MD
14.75,9: Work-based,2350,4217.0,3: MD
15.25,1: Work,13138,63863.0,3: MD
15.25,2: University,1010,5250.0,3: MD
15.25,3: School,2018,114097.0,3: MD
15.25,4: Escort,68640,100183.0,3: MD
15.25,5: Individual Maintenance,24587,32143.0,3: MD
15.25,6: Individual Discretionary,13063,12064.0,3: MD
15.25,7: Joint Maintenance,2915,3415.0,3: MD
15.25,8: Joint Discretionary,2311,1626.0,3: MD
15.25,9: Work-based,1889,3245.0,3: MD
15.75,1: Work,11832,72492.0,4: PM
15.75,2: University,827,5222.0,4: PM
15.75,3: School,2073,71701.0,4: PM
15.75,4: Escort,44250,55074.0,4: PM
15.75,5: Individual Maintenance,25299,28407.0,4: PM
15.75,6: Individual Discretionary,16186,9222.0,4: PM
15.75,7: Joint Maintenance,3417,3207.0,4: PM
15.75,8: Joint Discretionary,1862,1254.0,4: PM
15.75,9: Work-based,1438,2352.0,4: PM
16.25,1: Work,10805,89810.0,4: PM
16.25,2: University,643,5223.0,4: PM
16.25,3: School,1940,41018.0,4: PM
16.25,4: Escort,36867,48441.0,4: PM
16.25,5: Individual Maintenance,23950,31575.0,4: PM
16.25,6: Individual Discretionary,18865,9752.0,4: PM
16.25,7: Joint Maintenance,3474,3699.0,4: PM
16.25,8: Joint Discretionary,2827,1373.0,4: PM
16.25,9: Work-based,1145,1910.0,4: PM
16.75,1: Work,9680,120475.0,4: PM
16.75,2: University,3969,5040.0,4: PM
16.75,3: School,1797,34898.0,4: PM
16.75,4: Escort,23536,31061.0,4: PM
16.75,5: Individual Maintenance,22364,28692.0,4: PM
16.75,6: Individual Discretionary,21243,14117.0,4: PM
16.75,7: Joint Maintenance,3356,3548.0,4: PM
16.75,8: Joint Discretionary,3297,2000.0,4: PM
16.75,9: Work-based,1154,1582.0,4: PM
17.25,1: Work,9011,139951.0,4: PM
17.25,2: University,3026,4813.0,4: PM
17.25,3: School,1654,33103.0,4: PM
17.25,4: Escort,21812,25753.0,4: PM
17.25,5: Individual Maintenance,22514,25918.0,4: PM
